semana,submercado,pld
2023-12-30,SE,63.35
2023-12-30,S,63.35
2024-01-06,NE,61.07
2024-01-06,N,61.07
2024-01-06,SE,61.07
2024-01-06,S,61.07
2024-01-13,NE,61.07
2024-01-13,N,61.07
2024-01-13,SE,61.07
2024-01-13,S,61.07
2024-01-20,NE,61.38
2024-01-20,N,61.38
2024-01-20,SE,61.38
2024-01-20,S,61.38
2024-01-27,NE,61.07
2024-01-27,N,61.07
2024-01-27,SE,61.07
2024-01-27,S,61.07
2024-02-03,NE,61.07
2024-02-03,N,61.07
2024-02-03,SE,61.07
2024-02-03,S,61.07
2024-02-10,NE,61.07
2024-02-10,N,61.07
2024-02-10,SE,61.07
2024-02-10,S,61.07
2024-02-17,NE,61.07
2024-02-17,N,61.07
2024-02-17,SE,61.07
2024-02-17,S,61.07
2024-02-24,NE,61.6
2024-02-24,N,61.6
2024-02-24,SE,61.6
2024-02-24,S,61.6
2024-03-02,NE,61.07
2024-03-02,N,61.07
2024-03-02,SE,61.07
2024-03-02,S,61.07
2024-03-09,NE,61.07
2024-03-09,N,61.07
2024-03-09,SE,61.07
2024-03-09,S,61.07
2024-03-16,NE,61.07
2024-03-16,N,61.07
2024-03-16,SE,61.07
2024-03-16,S,61.07
2024-03-23,NE,61.07
2024-03-23,N,61.07
2024-03-23,SE,61.07
2024-03-23,S,61.07
2024-03-30,NE,61.07
2024-03-30,N,61.07
2024-03-30,SE,61.07
2024-03-30,S,61.07
2024-04-06,NE,61.07
2024-04-06,N,61.07
2024-04-06,SE,61.07
2024-04-06,S,61.07
2024-04-13,NE,61.07
2024-04-13,N,61.07
2024-04-13,SE,61.07
2024-04-13,S,61.07
2024-04-20,NE,61.07
2024-04-20,N,61.07
2024-04-20,SE,61.07
2024-04-20,S,61.07
2024-04-27,NE,61.07
2024-04-27,N,61.07
2024-04-27,SE,61.07
2024-04-27,S,61.07
2024-05-04,NE,61.07
2024-05-04,N,61.07
2024-05-04,SE,61.07
2024-05-04,S,61.07
2024-05-11,NE,61.07
